Statistical profiling result from isolate-0x55934cebc000-29050-v8.log, (164934 ticks, 31979 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    229    0.1%    0.1%  Builtin: AsyncFunctionAwaitUncaught
    221    0.1%    0.1%  JS: *selectServer /home/adrian/Brokeify/server/node_modules/mongodb/lib/sdam/topology.js:247:23
    221    0.1%    0.1%  JS: *cursorInit /home/adrian/Brokeify/server/node_modules/mongodb/lib/cursor/abstract_cursor.js:625:21
    221    0.1%    0.1%  Builtin: FindOrderedHashMapEntry
    220    0.1%    0.1%  JS: *applyPaths /home/adrian/Brokeify/server/node_modules/mongoose/lib/queryHelpers.js:129:41
    219    0.1%    0.1%  JS: *toUTF8 /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:276:11
    206    0.1%    0.1%  Builtin: ResolvePromise
    205    0.1%    0.1%  Builtin: LoadGlobalICTrampoline
    197    0.1%    0.1%  Builtin: GrowFastSmiOrObjectElements
    194    0.1%    0.1%  JS: *analyzePath /home/adrian/Brokeify/server/node_modules/mongoose/lib/queryHelpers.js:293:23
    192    0.1%    0.1%  JS: *prepareCommand /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/connection.js:152:19
    187    0.1%    0.1%  Builtin: Construct
    185    0.1%    0.1%  JS: *get /home/adrian/Brokeify/server/node_modules/mongoose/lib/helpers/document/compile.js:196:20
    185    0.1%    0.1%  JS: *_write node:internal/streams/writable:453:16
    184    0.1%    0.1%  Builtin: BaselineOutOfLinePrologue
    181    0.1%    0.1%  Builtin: CreateShallowObjectLiteral
    177    0.1%    0.1%  JS: *nodes /home/adrian/Brokeify/server/node_modules/mongodb/lib/utils.js:546:11
    172    0.1%    0.1%  JS: *toBin /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/commands.js:348:10
    170    0.1%    0.1%  JS: *cast /home/adrian/Brokeify/server/node_modules/mongoose/lib/cast.js:36:31
    170    0.1%    0.1%  Builtin: StrictEqual
    169    0.1%    0.1%  JS: *Document.$__init /home/adrian/Brokeify/server/node_modules/mongoose/lib/document.js:679:38
    167    0.1%    0.1%  JS: *get serverSession /home/adrian/Brokeify/server/node_modules/mongodb/lib/sessions.js:80:22
    167    0.1%    0.1%  Builtin: RegExpPrototypeTestFast
    163    0.1%    0.1%  Builtin: SetConstructor
    163    0.1%    0.1%  Builtin: FastNewObject
    159    0.1%    0.1%  JS: *serializeObjectId /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:3557:27
    159    0.1%    0.1%  JS: *findOne /home/adrian/Brokeify/server/node_modules/mongodb/lib/collection.js:275:18
    155    0.1%    0.1%  JS: *<anonymous> /home/adrian/Brokeify/server/node_modules/mongoose/lib/drivers/node-mongodb-native/collection.js:247:11
    152    0.1%    0.1%  Builtin: ArrayIndexOfSmiOrObject
    151    0.1%    0.1%  Builtin: KeyedHasIC_PolymorphicName
    149    0.1%    0.1%  JS: *clone /home/adrian/Brokeify/server/node_modules/mongoose/lib/helpers/clone.js:30:15
    147    0.1%    0.1%  JS: *toJSValue /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/on_demand/document.js:93:14
    146    0.1%    0.1%  JS: *SchemaNumber.cast /home/adrian/Brokeify/server/node_modules/mongoose/lib/schema/number.js:358:39
    146    0.1%    0.1%  Builtin: KeyedStoreICTrampoline_Megamorphic
    145    0.1%    0.1%  JS: *command /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/connection.js:324:18
    145    0.1%    0.1%  JS: *cleanup /home/adrian/Brokeify/server/node_modules/mongodb/lib/cursor/abstract_cursor.js:702:18
    144    0.1%    0.1%  Builtin: ToString
    144    0.1%    0.1%  Builtin: ArrayFrom
    142    0.1%    0.1%  JS: *allocUnsafe node:buffer:404:42
    142    0.1%    0.1%  JS: *SchemaObjectId.cast /home/adrian/Brokeify/server/node_modules/mongoose/lib/schema/objectId.js:227:41
    142    0.1%    0.1%  Builtin: CopyDataPropertiesWithExcludedPropertiesOnStack
    139    0.1%    0.1%  JS: *AbstractCursor /home/adrian/Brokeify/server/node_modules/mongodb/lib/cursor/abstract_cursor.js:65:16
    137    0.1%    0.1%  Builtin: PromiseResolveThenableJob
    137    0.1%    0.1%  Builtin: AsyncFunctionAwaitCaught
    136    0.1%    0.1%  JS: *findById /home/adrian/Brokeify/server/node_modules/mongoose/lib/model.js:2100:35
    135    0.1%    0.1%  Builtin: AsyncFunctionAwaitResolveClosure
    133    0.1%    0.1%  Builtin: ArrayIteratorPrototypeNext
    131    0.1%    0.1%  JS: *get /home/adrian/Brokeify/server/node_modules/mongoose/lib/types/array/index.js:86:18
    131    0.1%    0.1%  JS: *Readable.read node:internal/streams/readable:647:35
    130    0.1%    0.1%  JS: *serializeNumber /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:3453:25
    130    0.1%    0.1%  JS: *get ns /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/responses.js:175:11
    128    0.1%    0.1%  JS: *Query.merge /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:2455:33
    126    0.1%    0.1%  JS: *get id /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/responses.js:167:11
    124    0.1%    0.1%  Builtin: FunctionPrototypeHasInstance
    123    0.1%    0.1%  JS: *ClientSession /home/adrian/Brokeify/server/node_modules/mongodb/lib/sessions.js:39:16
    122    0.1%    0.1%  JS: *processWaitQueue /home/adrian/Brokeify/server/node_modules/mongodb/lib/sdam/topology.js:563:26
    121    0.1%    0.1%  JS: *serializeBinary /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:3678:25
    118    0.1%    0.1%  JS: *concat node:buffer:577:32
    117    0.1%    0.1%  JS: *$set /home/adrian/Brokeify/server/node_modules/mongoose/lib/document.js:1037:40
    117    0.1%    0.1%  Builtin: StoreICTrampoline_Megamorphic
    115    0.1%    0.1%  JS: *get batchSize /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/responses.js:210:18
    115    0.1%    0.1%  JS: *Schema.path /home/adrian/Brokeify/server/node_modules/mongoose/lib/schema.js:1046:33
    115    0.1%    0.1%  Builtin: PromiseConstructor
    115    0.1%    0.1%  Builtin: KeyedLoadIC
    113    0.1%    0.1%  JS: *Query._castConditions /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:2310:43
    113    0.1%    0.1%  JS: *Document.get /home/adrian/Brokeify/server/node_modules/mongoose/lib/document.js:1893:34
    112    0.1%    0.1%  JS: *writeCommand /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/connection.js:371:23
    112    0.1%    0.1%  Builtin: StringFromCharCode
    111    0.1%    0.1%  JS: *execute /home/adrian/Brokeify/server/node_modules/mongodb/lib/operations/find.js:28:18
    110    0.1%    0.1%  JS: *_findOneAndUpdate /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:3419:69
    109    0.1%    0.1%  JS: *setStreamTimeout node:internal/stream_base_commons:236:26
    109    0.1%    0.1%  JS: *nextTick node:internal/process/task_queues:113:18
    108    0.1%    0.1%  Builtin: PromisePrototypeThen
    107    0.1%    0.1%  JS: *serialize /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:4493:19
    106    0.1%    0.1%  JS: *shardingPluginPostInit /home/adrian/Brokeify/server/node_modules/mongoose/lib/plugins/sharding.js:11:54
    106    0.1%    0.1%  Builtin: SetPrototypeDelete
    104    0.1%    0.1%  JS: *applyGlobalOption /home/adrian/Brokeify/server/node_modules/mongoose/lib/helpers/query/applyGlobalOption.js:19:27
    104    0.1%    0.1%  Builtin: StringIndexOf
    103    0.1%    0.1%  JS: *updateInvestments file:///home/adrian/Brokeify/server/computation/simulator.js:195:33
    103    0.1%    0.1%  JS: *encodeUTF8Into /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:295:19
    103    0.1%    0.1%  JS: *SchemaType.getDefault /home/adrian/Brokeify/server/node_modules/mongoose/lib/schemaType.js:1171:43
    103    0.1%    0.1%  JS: *<anonymous> /home/adrian/Brokeify/server/node_modules/mongodb/lib/sdam/server.js:41:33
    102    0.1%    0.1%  JS: *wrappedFn node:internal/errors:535:21
    101    0.1%    0.1%  JS: *Kareem.execPost /home/adrian/Brokeify/server/node_modules/kareem/index.js:175:37
    101    0.1%    0.1%  Builtin: StringPrototypeMatch
     98    0.1%    0.1%  Builtin: SetProperty
     97    0.1%    0.1%  JS: *merge /home/adrian/Brokeify/server/node_modules/mongoose/lib/utils.js:247:31
     96    0.1%    0.1%  JS: *readPreferenceServers /home/adrian/Brokeify/server/node_modules/mongodb/lib/sdam/server_selection.js:196:42
     95    0.1%    0.1%  JS: *model /home/adrian/Brokeify/server/node_modules/mongoose/lib/model.js:4771:27
     95    0.1%    0.1%  JS: *extractDocumentSequences /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/commands.js:394:29
     94    0.1%    0.1%  JS: *get /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/responses.js:43:8
     94    0.1%    0.1%  Builtin: CallVarargs
     92    0.1%    0.1%  JS: *SchemaArray.cast /home/adrian/Brokeify/server/node_modules/mongoose/lib/schema/array.js:342:38
     91    0.1%    0.1%  JS: *<anonymous> /home/adrian/Brokeify/server/node_modules/mongodb/lib/sdam/topology.js:493:26
     90    0.1%    0.1%  JS: *Readable.removeListener node:internal/streams/readable:1159:45
     90    0.1%    0.1%  JS: *Kareem.execPre /home/adrian/Brokeify/server/node_modules/kareem/index.js:35:36
     88    0.1%    0.1%  JS: *rebalanceInvestments file:///home/adrian/Brokeify/server/computation/simulator.js:707:36
     88    0.1%    0.1%  JS: *internalDeserialize /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:3035:29
     86    0.1%    0.1%  JS: *serializeBoolean /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:3488:26
     86    0.1%    0.1%  JS: *onStreamRead node:internal/stream_base_commons:166:22
     85    0.1%    0.1%  Builtin: CloneObjectIC_Slow
     84    0.1%    0.1%  JS: *get /home/adrian/Brokeify/server/node_modules/mongodb/lib/bson.js:16:78
     84    0.1%    0.1%  JS: *SchemaString.cast /home/adrian/Brokeify/server/node_modules/mongoose/lib/schema/string.js:590:39
     84    0.1%    0.1%  JS: *Query.setOptions /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:1681:38
     83    0.1%    0.1%  Builtin: TypedArrayPrototypeSet
     82    0.0%    0.1%  JS: *resolveBSONOptions /home/adrian/Brokeify/server/node_modules/mongodb/lib/bson.js:61:28
     82    0.0%    0.1%  JS: *get /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/on_demand/document.js:167:8
     82    0.0%    0.1%  Builtin: NewPromiseCapability
     80    0.0%    0.0%  JS: *insert node:internal/priority_queue:26:9
     80    0.0%    0.0%  JS: *applySession /home/adrian/Brokeify/server/node_modules/mongodb/lib/sessions.js:754:22
     80    0.0%    0.0%  JS: *SchemaType.applyGetters /home/adrian/Brokeify/server/node_modules/mongoose/lib/schemaType.js:1269:45
