Statistical profiling result from isolate-0x557c6d30e000-78503-v8.log, (213525 ticks, 43771 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    274    0.1%    0.1%  JS: *Query._optionsForExec /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:2058:43
    269    0.1%    0.1%  JS: *toJSValue /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/on_demand/document.js:93:14
    266    0.1%    0.1%  JS: *Query /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:110:15
    257    0.1%    0.1%  JS: *analyzePath /home/adrian/Brokeify/server/node_modules/mongoose/lib/queryHelpers.js:293:23
    256    0.1%    0.1%  JS: *prepareCommand /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/connection.js:152:19
    256    0.1%    0.1%  Builtin: FastNewObject
    255    0.1%    0.1%  JS: *cleanup /home/adrian/Brokeify/server/node_modules/mongodb/lib/cursor/abstract_cursor.js:702:18
    253    0.1%    0.1%  JS: *selectServer /home/adrian/Brokeify/server/node_modules/mongodb/lib/sdam/topology.js:247:23
    252    0.1%    0.1%  JS: *_write node:internal/streams/writable:453:16
    247    0.1%    0.1%  JS: *toUTF8 /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:276:11
    243    0.1%    0.1%  JS: *NativeCollection.<computed> /home/adrian/Brokeify/server/node_modules/mongoose/lib/drivers/node-mongodb-native/collection.js:94:43
    243    0.1%    0.1%  Builtin: SetConstructor
    241    0.1%    0.1%  JS: *_findOne /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:2646:51
    240    0.1%    0.1%  JS: *FindOperation /home/adrian/Brokeify/server/node_modules/mongodb/lib/operations/find.js:14:16
    230    0.1%    0.1%  Builtin: RegExpPrototypeTestFast
    230    0.1%    0.1%  Builtin: LoadGlobalICTrampoline
    229    0.1%    0.1%  Builtin: GrowFastSmiOrObjectElements
    228    0.1%    0.1%  Builtin: CreateShallowObjectLiteral
    224    0.1%    0.1%  JS: *AbstractCursor /home/adrian/Brokeify/server/node_modules/mongodb/lib/cursor/abstract_cursor.js:65:16
    216    0.1%    0.1%  JS: *get /home/adrian/Brokeify/server/node_modules/mongoose/lib/helpers/document/compile.js:196:20
    215    0.1%    0.1%  Builtin: ToString
    213    0.1%    0.1%  Builtin: KeyedHasIC_PolymorphicName
    211    0.1%    0.1%  JS: *toBin /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/commands.js:348:10
    209    0.1%    0.1%  Builtin: KeyedHasIC
    203    0.1%    0.1%  JS: *onStreamRead node:internal/stream_base_commons:166:22
    200    0.1%    0.1%  Builtin: BaselineOutOfLinePrologue
    198    0.1%    0.1%  JS: *command /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/connection.js:324:18
    196    0.1%    0.1%  JS: *findOne /home/adrian/Brokeify/server/node_modules/mongodb/lib/collection.js:275:18
    187    0.1%    0.1%  Builtin: Construct
    186    0.1%    0.1%  Builtin: StrictEqual
    185    0.1%    0.1%  JS: *updateSessionFromResponse /home/adrian/Brokeify/server/node_modules/mongodb/lib/sessions.js:816:35
    184    0.1%    0.1%  JS: *<anonymous> /home/adrian/Brokeify/server/node_modules/mongoose/lib/drivers/node-mongodb-native/collection.js:247:11
    178    0.1%    0.1%  JS: *SchemaNumber.cast /home/adrian/Brokeify/server/node_modules/mongoose/lib/schema/number.js:358:39
    172    0.1%    0.1%  Builtin: KeyedLoadIC
    171    0.1%    0.1%  JS: *serializeObjectId /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:3557:27
    171    0.1%    0.1%  JS: *get /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/responses.js:43:8
    166    0.1%    0.1%  JS: *concat node:buffer:577:32
